编号,句子,实体1a,实体1b
2195,这些分队将隶属于负责反水下破坏的北方舰队司令部。到今年2月，北方舰队已组建5支这样的分队。这些分队既可在水下作战，也可以在陆上作战。他们配备的枪械不仅可以在陆上使用，也可在水下使用。这些分队还装备高速汽艇（包括“猛禽”和“白嘴鸦雏”型快艇）、排雷设备以及用于搜寻和对抗水下破坏者的技术设备。他们的任务是从事水下反破坏活动，并控制海军基地附近的沿海地区，以防止破坏者可能发动的袭击。在苏联时期，海军曾组建有这样的分队，但后来被解散。新组建的每个分队约有60人。,分队,高速汽艇（包括“猛禽”和“白嘴鸦雏”型快艇）
2196,为什么俄扩大在北极的反破坏能力？这与该地区的局势有关直接联系。报道称，目前，多个国家在北极地区展开激烈竞争。近年来，北极海冰面积持续减少，这有望出现新的贸易航线。此外，冰面融化还为石油和贵重金属的开采提供了机会。在2020年俄罗斯国家安全战略中，该地区被宣布为主要战略利益区。目前，美国、加拿大和挪威等国都积极参与对北极地区的竞争。美国海军在北极寒冷地区培训第二和第五队“海豹”突击队，以便参与在北极的军事行动。除美国之外，挪威和丹麦也组建了在北极地区活动的特种分队。这些分队主要任务是从水下对敌人采取破坏活动，正是由于北约国家组建的这些水下破坏分队，俄北方舰队才组建数支反破坏分队。▲（柳玉鹏）,美国海军,第二和第五队“海豹”突击队
2199,【环球时报报道 特约记者 石留风】据英国《独立报》等媒体11日报道，继上月英国军舰在南海举行演习后，英国国防大臣又放出话，将派遣“伊丽莎白女王”号航母（如图）和F-35B舰载机到南海展示“硬实力”。,英国国防大臣,“伊丽莎白女王”号航母
2200,英媒称，英国国防大臣加文·威廉姆森周一在皇家三军联合研究所发表演讲时宣布，针对中俄等国“藐视国际法”的行为，英国未来“可能不得不进行干预”。英军新服役的“伊丽莎白女王”号航母及两个中队的F-35隐形战机，将前往太平洋争议海域，展示英国的“硬实力”。,“伊丽莎白女王”号航母,太平洋争议海域
2205,复旦大学海权专家马尧告诉《环球时报》记者，英国来南海搅局已经不是第一次了。去年，英国的23型护卫舰“萨瑟兰”号和“海神之子”号船坞登陆舰，就先后到南海维护所谓“航行自由”。但今天的英国既没有干涉南海的资格，更缺乏插手南海的实力。英国作为南海域外国家，派遣航母到南海秀肌肉，既没有法理依据，也缺乏合理诉求。这种无意义的蹭热点行为，消耗的是英国宝贵的防务预算，动用的是有限的海上军力，却挽回不了英国海军每况愈下的颓势。英国与其追随美国到南海搅局，还不如把相关费用投入到英国海军建设上去。,23型护卫舰“萨瑟兰”号和“海神之子”号船坞登陆舰,南海
2207,美国海军福特号航母是世界第一艘也是目前唯一一艘装备电磁弹射系统的航母,美国海军福特号航母,电磁弹射系统
2208,【环球网军事2月1日报道】中国海军第一艘服役的航母辽宁舰向来被视为训练舰，其采用的是滑跃式甲板起飞，但有香港媒体报道，如今北京正在考虑将辽宁家的滑跃起飞方试改为最先进的“电磁弹射系统”，以为舰载机提供最新的训练方式。,航母辽宁舰,“电磁弹射系统”
2209,据香港《南华早报》2月10日的报道，一名匿名的解放军退役海军官员透露，辽宁舰装上电磁弹射系统后，将成为解放军下一代航母003舰的舰载机驾驶训练平台。报道称解放军正加速提升航母战力，首艘国产航母002舰已经完成多次海试，而第3艘航母003舰，则将安装类似美国最新型核动力航母福特号上的电磁弹射系统。新系统将让舰载机得以搭载更多武器与燃料，扩大作战范围。,第3艘航母003舰,电磁弹射系统
2210,报道引用军事专家周晨鸣的话说，在造船专家发现辽宁舰具备兼容性后，对电磁弹射器进行改装的可能性增加。经过9个月的改装后，辽宁舰刚结束了在黄海为期一周的海试——这是它自2012年入役以来的首次重大升级。,辽宁舰,电磁弹射器
2212,另一方面，香港军事专家、凤凰卫视评论员宋忠平认为，由于成本问题，辽宁舰改装电磁弹射系统的机率微乎其微。“改装工作太广泛，也太复杂，”他说，“我不认为有必要执行这么棘手的计划。”,辽宁舰,电磁弹射系统
2214,【环球网报道 实习记者 任洁】3套“IGLA”便携式防空导弹系统、10枚导弹、两挺机关枪和1000多发子弹……这是乌克兰军队士兵因醉酒误用高射炮向军队仓库开火造成的损失。乌克兰顿涅茨克人民共和国民兵行动指挥部新闻处负责人丹尼尔·别兹索诺夫9日在 “第一共和党电视频道”上宣布了这一消息。,乌克兰军队,3套“IGLA”便携式防空导弹系统
2216,根据别兹索诺夫的说法，乌军队领导在事后清点武器时，发现残存的武器数量远远大于被烧毁的武器数量。残存的武器中还包括2000发7.62毫米口径的子弹、1000发5.45毫米口径的子弹和5个“Archer”红外线热成像仪。,残存的武器,5个“Archer”红外线热成像仪
2219,【环球网综合报道】据日本共同社2月11日报道，澳大利亚总理莫里森当地时间11日与法国海军造船局（原DCNS，法国国有船舶制造企业）签订订购合同，将同法国公司建立起战略伙伴关系，共同开发研制新一代潜艇。,法国海军造船局（原DCNS，法国国有船舶制造企业）,新一代潜艇
2221,澳大利亚目前拥有的6艘科林斯级潜艇服役时间较长，老化、故障等问题频发。澳政府计划与别国共同研发的12艘新潜艇将取代旧潜艇入列澳大利亚海军。（实习编译：马岩 审稿：王欢）,澳大利亚,6艘科林斯级潜艇
2224,据独立报称，英国皇家舰队旗舰“伊丽莎白女王”号航空母舰将搭载两个中队最先进的F-35B隐身战斗机前往中国南海，这片太平洋上的“争议水域”展示“硬实力”。威廉姆森将宣布，英国未来“可能不得不进行干预”，以对抗俄罗斯和中国等国的“侵略”，并指责这些国家“藐视国际法”，并且在重建武装力量方面正“卷土重来”。,英国皇家舰队旗舰“伊丽莎白女王”号航空母舰,F-35B隐身战斗机
2228,【环球网报道 记者 崔天也】春节后上班第一天，美国人又来“碰瓷”了。路透社11日援引美国官员的话称，两艘美国驱逐舰当日闯入我南沙美济礁12海里范围。今年1月7日，美国海军“麦克坎贝尔”号军舰未经中方允许，曾擅自进入中国西沙群岛领海。中方随即派出军舰军机依法对美舰实施查证识别，予以警告驱离。,两艘美国驱逐舰,南沙美济礁
2229,路透社11日没有在报道中透露闯入我南沙岛礁12海里的美军驱逐舰具体是哪两艘，但表示此举很可能激怒中国。美国有线电视新闻网(CNN)则透露，此次前往南海的是“斯普鲁恩斯”号驱逐舰和“普雷布尔”号驱逐舰。,“斯普鲁恩斯”号驱逐舰和“普雷布尔”号驱逐舰,南沙岛礁
2232,上个月7日，美国海军“麦克坎贝尔”号军舰未经中方允许，曾擅自进入中国西沙群岛领海。当时外交部发言人陆慷回应称，中方随即派出军舰军机依法对美舰实施查证识别，予以警告驱离并就此向美方提出严正交涉。美舰有关行为违反中国法律和相关国际法，侵犯中国主权，破坏有关海域的和平、安全和良好秩序。中方坚决反对美方有关行径，敦促美方立即停止此类挑衅行动。中方将继续采取必要措施捍卫国家主权和安全。,美国海军“麦克坎贝尔”号军舰,中国西沙群岛领海
2248,安东诺夫认为，美国选择公开与俄罗斯对抗的方式，这证明美国并非真正有兴趣维持条约，而是在寻求退出协议的借口。他表示，“我认为，这是显而易见的：美国决定退出《中导条约》，因为美国需要这种类型的导弹。”,美国,《中导条约》
2249,此前，美国外交官向俄方发出最后通牒，称俄罗斯必须摧毁违反条约的9M729导弹及其发射器等。安东诺夫称，“这不是外交手段。很难想象会有人试图将这样的决定强加给一个联合国安理会的常任理事国。”,俄罗斯,9M729导弹
2261,【环球网军事2月11日报道】波兰国防部长马里乌什·布拉夏克本2月10日宣布，波兰从美国手中购买20个射程达300公里的火箭发射器。,波兰,火箭发射器
2262,布拉夏克在华沙装甲坦克部队会议上说：“周三我们将同美国政府签订M142高机动性多管火箭系统（HIMARS）的供货合同。”,华沙装甲坦克部队,M142高机动性多管火箭系统（HIMARS）
2263,HIMARS是M142高机动性多管火箭系统。这种火箭系统能打击到射程在300公里的目标。发射装置安装在轻型装甲车上。布拉夏克称，波兰将支付4.14亿美元用来购买20个带弹药的火箭发射器。,HIMARS,M142高机动性多管火箭系统
2269,科罗琴科指出，“欧洲需要首先思考一下，如何避免成为回击的靶子”。他解释称：“欧洲目前应自我救赎，俄罗斯对关系恶化不感兴趣。而且，我们已开始研制新的系统，我们已声明，在欧洲人未在自己那里部署美国系统前我们不会部署它们。因此，一切掌握在欧洲手中。”美国总统特朗普上周表示，华盛顿2月2日起开始启动退出《中导条约》的程序。国务卿迈克·蓬佩奥表示，“如果俄罗斯在6个月期限内不能充分地、可核查地重新遵守条约规定”，那么这项条约将被废除。,华盛顿,《中导条约》
2270,普京2月2日在会见俄外长拉夫罗夫与国防部长绍伊古时表示，针对美国退出《中导条约》的做法，俄罗斯将采取对等回应措施，也将暂时退出这一条约。普京指出，俄罗斯不应也不会卷入耗资巨大的军备竞赛。他还说，俄方就裁军问题提出的所有建议摆在桌面上且谈判大门仍就敞开着，但他要求未来不要再提议就此问题举行会谈。,美国,《中导条约》
2272,“中国海警”微信公号2月11日消息，当天，中国海警2501舰艇编队在我钓鱼岛领海内巡航。,中国海警2501舰艇编队,钓鱼岛领海
2275,马杜罗乘坐中国制造的两栖战车视察,马杜罗,两栖战车
2276,【环球网军事2月11日报道】据俄罗斯卫星通讯社2月11日报道，委内瑞拉总统马杜罗10日宣布，“2019年-安哥斯图拉200周年”军事演习开始，这是委内瑞拉历史上规模最大的一次军演。,委内瑞拉,“2019年-安哥斯图拉200周年”军事演习
2280,中新网2月11日电 据俄罗斯卫星网报道，当地时间10日，委内瑞拉总统马杜罗宣布启动“2019年-安哥斯图拉200周年”军事演习，这是委内瑞拉历史上规模最大的一次军演。,委内瑞拉,“2019年-安哥斯图拉200周年”军事演习
2282,报道称，马杜罗在不久前的一次讲话中曾表示，这是委内瑞拉200年间最大规模的军演，国家武装部队和民兵参加此次演习。他表示，委内瑞拉需要参考以往的行动经验，对“可能的军事威胁”做出评估。,国家武装部队和民兵,演习
2287,此前斯托尔滕贝曾表示，北约并未期望北约盟国作为对围绕中导条约局势的回应，在欧洲部署更多核武器。美国总统特朗普上周表示，华盛顿2月2日起开始启动退出《中导条约》的程序。国务卿蓬佩奥表示，“如果俄罗斯在6个月期限内不能充分地、可核查地重新遵守条约规定”，那么这项条约将被废除。,华盛顿,《中导条约》
2288,普京2月2日在会见俄外长拉夫罗夫与国防部长绍伊古时表示，针对美国退出《中导条约》的做法，俄罗斯将采取对等回应措施，也将暂时退出这一条约。普京指出，俄罗斯不应也不会卷入耗资巨大的军备竞赛。他还说，俄方就裁军问题提出的所有建议摆在桌面上且谈判大门仍旧敞开着，但他要求未来不要再提议就此问题举行会谈。,美国,《中导条约》
2293,北约国家在与俄罗斯就乌克兰问题存在分歧的背景下宣布了扩大在欧洲军事活动的一系列举措，包括加强快速反应力量，增加美军数量，大幅扩大演习和巡逻计划以及增加国防开支。俄罗斯称，北约在其边界附近前所未有地扩大活动。莫斯科一再表示，俄罗斯不会对任何人、任何国家构成威胁，但不会无视对其利益有潜在危险的行动。,北约国家,欧洲军事活动
2295,【环球网军事2月11日报道】据俄罗斯卫星新闻2月9日报道，美国常驻北约代表处发表声明称，美国认为，陆基“宙斯盾”反导系统完全符合《中导条约》规定的义务，因为它没有发射“战斧”巡航导弹所需要的进攻能力和基础设施。,陆基“宙斯盾”反导系统,“战斧”巡航导弹
2296,此前，俄罗斯国防部提议销毁部署在陆上发射“战斧”巡航导弹的美国设施，以重返《中导条约》。,俄罗斯国防部,“战斧”巡航导弹
2297,声明称：“陆基‘宙斯盾'反导系统完全符合《中导条约》规定的义务。该系统只能发射防御性拦截导弹，如SM-3。”常驻代表处表示，拦截导弹SM-3不受《中导条约》的约束。美方认为：“陆基‘宙斯盾'系统从来未具备、发射或测试发射违反《中导条约》的导弹。因此，该系统不是受禁止的发射装备。”,陆基‘宙斯盾'反导系统,《中导条约》
2299,【环球网军事2月11日报道】据俄罗斯卫星新闻通讯社2月10日报道，俄罗斯国防工业综合体的消息人士本周日称，俄罗斯将在2019年夏天开始“波塞冬”水下无人机的工厂运行试验。,俄罗斯,“波塞冬”水下无人机
2301,俄罗斯总统普京在去年3月份俄罗斯联邦会议上的国情咨文中首次通报了俄罗斯建造核动力水下无人机的消息。普京指出，这些无人机可能装备普通的弹药或者装备核弹药，这些无人机将能摧毁敌人的基础设施和航空母舰。根据此前公布的消息，“波塞冬”将获得洲际距离和超过1公里的工作深度。,俄罗斯,核动力水下无人机
2303,【环球网军事2月11日报道】俄罗斯卫星通讯社2月11日报道，美国中央司令部司令、陆军上将约瑟夫·沃特尔表示，美国可能会在最近几周内开始从叙利亚撤出美军地面部队。沃特尔同时指出，驻伊拉克美军人数总体上不变。,美国,美军地面部队
2304,《华尔街日报》此前援引美国政府消息人士的话报道，如果白宫政策没变，军方将在3月中旬之前从叙利亚撤出大部分美军，全面撤军将在4月底完成。,军方,大部分美军
2308,【环球时报报道 记者 郭媛丹】巴基斯坦《民族报》10日刊登的一篇报道称，中国将向巴基斯坦出售中国首艘、也是唯一在列的航母辽宁舰。该消息据称来自中国媒体及俄罗斯媒体，但据《环球时报》记者了解，该消息实属以讹传讹、子虚乌有。,中国,航母辽宁舰
2309,《民族报》称，根据中俄媒体9日的报道，辽宁舰将以不确定的价格出售给巴基斯坦，此举将使巴基斯坦比印度更具竞争力。《环球时报》记者发现，这篇标题唬人的报道实际存在诸多不实之处。比如该报道声称中国海军计划建造6艘核动力航母，并取代辽宁舰。但事实上中国从未公布过类似计划，目前中国官方对外公开的航母建造计划，只有正在大连造船厂的首艘国产航母。,中国海军,6艘核动力航母
2310,上述报道中提及的中国媒体指向《南华早报》，但《环球时报》记者在该报官方网站并未检索到相关报道。《民族报》采用的另一消息源是俄罗斯媒体“今日俄罗斯”，《环球时报》记者发现，“今日俄罗斯”的报道引用的是美国著名防务网站“海军聚焦”6日刊登的一篇报道。该报道声称，中国媒体“分别披露了”中国将升级辽宁舰、并将其卖给巴基斯坦的消息。然而“海军聚焦”的报道不仅没有确凿证据，还前后矛盾。该报道称，“辽宁舰于2012年9月入列，届时将为中国海军服务约18年”，似乎暗示中国将在2030年出售辽宁舰。但报道随后又明确提出，“辽宁舰将在2020年之前出售给巴基斯坦”。,中国,辽宁舰
2311,辽宁舰的前身是苏联海军的库兹涅佐夫元帅级航空母舰次舰瓦良格号，20世纪80年代中后期，瓦良格号的建造工程中断。随后中国购买瓦良格号，继续建造改进。2012年9月25日，辽宁舰正式入列中国海军。截至目前，辽宁舰是中国唯一在列的航母，主要用途是科研试验和训练。,辽宁舰,苏联海军的库兹涅佐夫元帅级航空母舰次舰瓦良格号
2314,据俄罗斯卫星通讯社报道称，俄罗斯总统普京下令解除强力机构9名将军的职务。俄罗斯法律信息官方网站刊登了这份命令。,俄罗斯总统普京,强力机构9名将军
2317,据俄罗斯卫星网2月9日报道称，俄罗斯技术国家集团旗下的“俄罗斯国防出口”公司和“高精综合系统”科学生产联合企业首次在国外组织展示“铠甲-МЕ”舰载防空导弹和高射炮综合系统。首次国外展示将于2月18日至19日在2019年阿布扎比国际防务展框架下举行。,俄罗斯技术国家集团,“铠甲-МЕ”舰载防空导弹和高射炮综合系统
2319,“铠甲-МЕ”舰载防空导弹和高射炮综合系统可以安装在排水量在300吨以上的舰艇上。它确保可靠保护舰艇免受各类现有和未来即将出现的空袭武器(其中包括低飞反舰导弹和无人机)的袭击。这是由“铠甲-МЕ”舰载防空导弹和高射炮综合系统的高级战术技术特性决定的。KB仪表制造公司海上高射综合系统主要设计师亚历山大?茹科夫在接受俄罗斯卫星通讯社和广播电台的专访时介绍说：,300吨以上的舰艇,“铠甲-МЕ”舰载防空导弹和高射炮综合系统
2320,“在‘铠甲-МЕ’舰载防空导弹和高射炮综合系统中采用的是射击距离高达20公里的高射导弹，它能够命中高度从5米到1.5万米内的目标。而对于近程(从3000米到300米)漏网目标，它能够自动开始‘运行’30毫米直径的速射炮。该系统由指挥舱和4个战斗舱组成。在指挥舱中设有搜索与目标指示站，能够伴随最多100个目标。那里还有带相控天线阵的多功能引导和跟踪雷达、带热视和电视渠道的光学系统、激光测距仪和光学定位仪。所有这一切都有助于在昼夜任何时间、任何天气，以及在敌方释放任何可能干扰的条件下一定命中目标。每个战斗舱的弹药基数可以用弹射击8个目标，用高射炮中射击8个目标。一个‘铠甲-МЕ’舰载防空导弹和高射炮综合系统足够一个大型舰艇的对空防御之用。而在(排水量在300到500吨的)小型舰艇上只能容下战斗舱，而为了发现目标，伴随目标，把数据传送给导弹和速射炮，需要使用全舰站。”,‘铠甲-МЕ’舰载防空导弹和高射炮综合系统,高射导弹
2351,近日，南部战区海军远海联合训练编队破浪疾驰，一场实战化背景下的临检拿捕演练拉开了序幕。演练背景是，某不明商船(由洪湖舰模拟)疑似运送违禁物品，合肥舰、长白山舰奉命对可疑商船进行临检拿捕。,合肥舰、长白山舰,可疑商船
2353,不多时，在舰机协同配合下，可疑商船被迅速锁定。长白山舰通过甚高频向可疑商船喊话，令其停车配合查证。,长白山舰,可疑商船
2355,此时，合肥舰严阵以待，主副炮瞄准目标，舱面火力支援组也已就位。随后，舰上发射1枚信号弹，向可疑商船进行警告射击，对方仍不予理睬，并加速逃窜。,合肥舰,1枚信号弹
2357,“砰!砰”，在喊话和警告射击未果后，合肥舰又发出2枚信号弹，模拟实施拦阻射击。此时，可疑商船终于放弃“抵抗”，减速停车。,合肥舰,可疑商船
2358,“直升机前出，准备对可疑商船实施登临检查!”行动命令下达后，长白山舰直升机搭载着十余名特战队员快速出击，在空中和舱面火力掩护下，迅速索降至可疑商船后甲板上。,长白山舰直升机,十余名特战队员
2436,本报巴基斯坦卡拉奇2月7日电 特约记者薛成清、通讯员顾亚根报道：当地时间7日上午，由两栖船坞登陆舰昆仑山舰和综合补给舰骆马湖舰组成的998舰艇编队抵达巴基斯坦卡拉奇港，参加代号为“和平-19”的多国海上联合军事演习。,两栖船坞登陆舰昆仑山舰和综合补给舰骆马湖舰组成的998舰艇编队,巴基斯坦卡拉奇港
2437,巴基斯坦海军在卡拉奇港举行了隆重的欢迎仪式，中国驻卡拉奇总领事王愚率使领馆工作人员，中资机构和巴基斯坦华人华侨代表等到码头迎接。,巴基斯坦海军,欢迎仪式
2438,“和平-19”多国海上联合军演于2月8日至12日在巴基斯坦卡拉奇及其附近海域举行。演习由巴基斯坦海军倡导组织，旨在促进各参演国海上交流协作，以共同提升应对海上安全威胁的能力。中国、美国、英国、意大利、澳大利亚、马来西亚、斯里兰卡、土耳其和阿曼等国派出舰艇、飞机、特种部队参加，另有巴西等45个国家派观察员观摩。此次联演分为港岸阶段和海上阶段。港岸阶段主要包括召开国际海事研讨会议、反恐反海盗演示、轻武器射击训练和防卫作战演练等，期间还将组织军事研讨交流和文体比赛等多项活动;海上阶段将进行主炮对海实弹射击、反恐反海盗、国际阅舰式等多个科目的演习。,巴基斯坦海军,“和平-19”多国海上联合军演
2439,自2007年以来，中国海军舰艇先后6次赴巴基斯坦参加“和平”系列多国海上联合演习。此次联演，中方参演舰艇全部来自第31批护航编队。,中国海军舰艇,“和平”系列多国海上联合演习
2500,俄罗斯国防部长谢尔盖·绍伊古5日下令研发两套新的陆基导弹发射系统，以回应美方退出《中导条约》、开发新导弹系统。,俄罗斯国防部长谢尔盖·绍伊古,新的陆基导弹发射系统
2501,绍伊古5日与国防部官员开会，提及美国2日起暂停履行《中导条约》义务、着手研发新型陆基导弹。“导弹射程超过500公里，超出条约限制。(弗拉基米尔·)普京总统已向国防部下达任务，采取相应举措。”,俄罗斯国防部长谢尔盖·绍伊古,新的陆基导弹发射系统
2503,普京2日说，美方已经明确表明将开始研究、开发和设计新导弹系统，俄方同样会这么做。按普京的说法，俄方两套新陆基导弹发射系统将分别用于发射“口径”巡航导弹和远程超音速导弹。,俄方两套新陆基导弹发射系统,“口径”巡航导弹和远程超音速导弹。
2524,据俄罗斯卫星网报道称，俄罗斯军事技术合作局局长舒加耶夫向记者表示，俄罗斯将在2019年秋季之前向土耳其供应S-400防空导弹系统。,俄罗斯,S-400防空导弹系统
2527,舒加耶夫补充道，除了中国、土耳其和印度之外，还有大约10个国家期待获得S-400系统。,10个国家,S-400系统
2529,"俄罗斯卫星通讯社莫斯科2月6日电 俄罗斯国防部发布消息指出，俄在普列谢茨克发射场试射一枚""亚尔斯RS-24""洲际弹道导弹。",普列谢茨克发射场,亚尔斯RS-24洲际弹道导弹
2530,"消息中显示：""莫斯科时间2月6日11时31分(北京时间16时31分)，从普列谢茨克发射场试射一枚携带分导弹头的机动式""亚尔斯RS-24""固体燃料洲际弹道导弹。""",普列谢茨克发射场,"携带分导弹头的机动式""亚尔斯RS-24""固体燃料洲际弹道导弹"
2531,国防部指出，导弹准确命中位于远东堪察加半岛库拉靶场的预定目标。试射任务圆满完成。,导弹,位于远东堪察加半岛库拉靶场的预定目标
2535,报告写道，到2020年，法国将在经历半个世纪后首次有望超过俄罗斯，成为全球第二大武器出口国。报告称：“向印度和卡塔尔出口‘阵风’(Rafale)战斗机是法国武器出口增长的主要原因。此外，在中东市场的持续成功以及直升机出口范围的扩大也是推动市场变化的重要因素。”报告作者预测，到今年年底，法国武器出口将增至70亿美元。,法国,‘阵风’(Rafale)战斗机
2560,作为某型国产护卫舰列装首舰，徐州舰曾在护航中为2000多名同胞开辟安全通道，创下中国海军首次为撤离海外受困人员船舶护航的佳绩，荣立一等功。,徐州舰,安全通道
2561,离开徐州舰，记者又踏上了湘潭舰。2016年2月列装的湘潭舰，列装仅43天就参加了中国海军第二十三批护航编队，赴亚丁湾、索马里海域执行护航任务，“真正实现了战斗力由训练生成向任务生成。”,湘潭舰,中国海军第二十三批护航编队
2606,印度一家飞行培训机构的一架教练机5日在该国西部马哈拉施特拉邦浦那市附近坠毁，飞行员在事故中受伤。,一架教练机,马哈拉施特拉邦浦那市附近
2608,这是一周来印度境内发生的第二起坠机事故。1日，印度空军一架教练机在卡纳塔克邦班加罗尔市附近坠毁，机上两人丧生。,印度空军一架教练机,卡纳塔克邦班加罗尔市附近
2621,俄罗斯国防部长谢尔盖·绍伊古表示，必须在2019年至2020年研制海基版“口径”远程巡航导弹的陆基版，这段时间内还应该研制成高超音速远程导弹系统。,俄罗斯国防部,海基版“口径”远程巡航导弹的陆基版
2622,美国总统特朗普20日宣布，俄罗斯正在违反《中导条约》，所以美国不打算遵守该条约，并计划退出。他就此发表评论时说，华盛顿将发展武器。俄总统新闻秘书佩斯科夫表示，俄罗斯希望美方就退出《中导条约》计划给出更详细的解释。他还说，如果《中导条约》破裂，迫使俄罗斯采取措施保障自身安全。俄外长拉夫罗夫也称，这一领域有作用力就有反作用力。,俄罗斯,《中导条约》
2624,【环球网军事2月6日报道】俄罗斯卫星通讯社2月5日报道，俄罗斯国防部发布消息，俄空天军列宁格勒州防空导弹部队训练中心将于2019年接装首套S-350“勇士”防空导弹系统。,俄空天军列宁格勒州防空导弹部队,首套S-350“勇士”防空导弹系统。
2625,消息中说：“2019年，首套S-350“勇士”防空导弹系统将交付给俄罗斯空天军。接装单位将是俄空天军列宁格勒州防空导弹部队训练中心。官兵将接受新型武器操控培训”。,首套S-350“勇士”防空导弹系统,俄罗斯空天军
2626,S-350“勇士”防空导弹系统包括一体化发射车及平板相控阵雷达车和指挥车，该系统配备有用于S-400系统的中短程防空导弹。,S-350“勇士”防空导弹系统,一体化发射车及平板相控阵雷达车和指挥车
2631,专家指出，如果美国在东欧部署武器系统，俄罗斯进行预防性打击的可能性将大大增加，这不是美国所愿意接受的。,美国,武器系统
2637,据阿纳多卢通讯社发布的视频，卡车运输的发电机将用于为美军驻叙基地供电或建造新的基地。,卡车运输的发电机,美军驻叙基地
2638,美国主导的国际联军从2014年起在叙利亚和伊拉克境内开展打击国际恐怖组织“伊斯兰国”的行动，其在叙利亚的行动并未得到当局同意。美国总统特朗普2018年底宣布，美国将从叙利亚撤军，但没有说明最终期限。,美国主导的国际联军,打击国际恐怖组织“伊斯兰国”的行动
2649,美国国务院1日宣布，美国将于2日起暂停履行《中导条约》义务，启动退约程序。美国国务卿蓬佩奥说，由于俄罗斯长期违反《中导条约》的规定，美方将暂停履行条约义务，启动为期6个月的退约程序。,美国,《中导条约》
2653,俄罗斯国防部长绍伊古30日说，升级后的图-160M战略轰炸机将于2021年开始列装俄罗斯军队。,俄罗斯军队,图-160M战略轰炸机
2654,塔斯社援引绍伊古的话报道说，俄罗斯对图-160系列轰炸机升级工作正在按计划进行，第一批完成升级改造的图-160M战略轰炸机将在2021年列装，目前位于喀山的飞机制造厂已开始相关工作。,俄罗斯,图-160系列轰炸机
2655,绍伊古说，图-160M将配备最新的机载防御系统、抗干扰通信系统和独特的武器系统，可携带常规武器和核武器，该机型配备的NK-32型发动机将为图-160M提供更强劲的飞行动力。,图-160M,最新的机载防御系统
2656,图-160轰炸机是苏联图波列夫设计局研制的可变后掠翼超音速远程战略轰炸机。据俄罗斯媒体此前报道，2015年俄军方决定对这款轰炸机进行升级改造，升级后的图-160M战略轰炸机一次加油续航里程可达12000千米，搭载弹药40吨。升级后的图-160M除机身外观与图-160一样外，其核心部件将被彻底更换。（马晓成）,图-160轰炸机,可变后掠翼超音速远程战略轰炸机
2660,美国总统特朗普上周表示，华盛顿2月2日起开始启动退出《中导条约》的程序。国务卿迈克·蓬佩奥表示，“如果俄罗斯在6个月期限内不能充分地、可核查地重新遵守条约规定”，那么这项条约将被废除。,华盛顿,《中导条约》
2665,俄罗斯驻坎特军事基地是集体安全条约组织集体快速反应部队的空军基地，同时其部队确保集安组织成员国领空安全。该基地装备有苏-25攻击机和米-8直升机。,俄罗斯驻坎特军事基地,苏-25攻击机和米-8直升机
2667,【环球网军事2月5日报道】俄罗斯卫星通讯社2月4日报道，土耳其总统发言人易卜拉欣·卡林对媒体表示，安卡拉对美俄两国退出《中导条约》深表不安，土方呼吁两国就此问题进行谈判。,美俄两国,《中导条约》
2668,他说：“美俄退出《中导条约》，这让土耳其感到担忧。现在美国和俄罗斯相互指责是对方首先违反了该条约。这很危险，可能会引发新一轮的军备竞赛。如果需要对条约内容进行更新或者修改，美俄双方应就其展开讨论，进而形成统一立场并照章行事。”,美俄,《中导条约》
2670,美国总统特朗普上周表示，华盛顿2月2日起开始启动退出《中导条约》的程序。国务卿迈克·蓬佩奥表示，“如果俄罗斯在6个月期限内不能充分地、可核查地重新遵守条约规定”，那么这项条约将被废除。,华盛顿,《中导条约》
2671,普京2月2日在会见俄外长拉夫罗夫与国防部长绍伊古时表示，针对美国退出《中导条约》的做法，俄罗斯将采取对等回应措施，也将暂时退出这一条约。普京指出，俄罗斯不应也不会卷入耗资巨大的军备竞赛。他还说，俄方就裁军问题提出的所有建议摆在桌面上且谈判大门仍就敞开着，但他要求未来不要再提议就此问题举行会谈。,美国,《中导条约》
2678,【环球网军事2月5日报道】俄罗斯卫星通讯社2月5日报道，美国哈姆莱大学政治学教授大卫·舒尔茨（David Schultz）向卫星通讯社表示，《中导条约》的破裂可能引发新一轮军备竞赛，或者导致俄美在欧洲大规模部署核武器。,俄美,核武器
2709,【环球网军事2月4日报道】俄罗斯卫星新闻通讯社2月3日报道，俄罗斯无线电电子技术公司（隶属于俄罗斯技术国家集团公司）新闻处表示，该公司开始向俄罗斯海军交付可令敌军“失明”的“雕鸮”5P-42视觉光学干涉站。,俄罗斯无线电电子技术公司（隶属于俄罗斯技术国家集团公司）,“雕鸮”5P-42视觉光学干涉站
2710,该设备已安装在“戈尔什科夫海军上将”号护卫舰（于2018年交付海军）和“卡萨托诺夫海军上将”号护卫舰（正处于工厂测试阶段）上。每艘各装备两套“雕鸮”系统。此外，还有两艘正在“北方造船厂”建造之中的22350型护卫舰也将安装这一设备。,22350型护卫舰,“雕鸮”系统
2711,“雕鸮”光学干涉站由“积分”试验厂（隶属于俄罗斯无线电电子技术公司）研制，是一款用于夜间和黄昏时分抑制枪械及打击水面舰艇和快艇使用的近战武器的视觉光学观察和瞄准系统。,“积分”试验厂（隶属于俄罗斯无线电电子技术公司）,“雕鸮”光学干涉站
